issn	journal_name	pub_name	is_hybrid	category
0954-349X	Structural Change and Economic Dynamics	Elsevier	1	NULL
0954-6111	Respiratory Medicine	Elsevier	1	MEDICINE
0955-0674	Current Opinion in Cell Biology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0955-2219	Journal of the European Ceramic Society	Elsevier	1	PHYSICS AND CHEMISTRY
0955-2863	The Journal of Nutritional Biochemistry	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0955-3959	International Journal of Drug Policy	Elsevier	1	PSYCHIATRY
0955-470X	Transplantation Reviews	Elsevier	1	NEPHROLOGY
0955-5986	Flow Measurement and Instrumentation	Elsevier	1	FLUID MECHANICS
0955-7997	Engineering Analysis with Boundary Elements	Elsevier	1	STRUCTURAL ENGINEERING
0956-053X	Waste Management	Elsevier	1	NULL
0956-5221	Scandinavian Journal of Management	Elsevier	1	MARKETING
0956-5663	Biosensors and Bioelectronics	Elsevier	1	NULL
0956-7135	Food Control	Elsevier	1	FOOD SCIENCE
0957-1787	Utilities Policy	Elsevier	1	ENERGY
0957-4158	Mechatronics	Elsevier	1	ROBOTICS
0957-4166	Tetrahedron: Asymmetry	Elsevier	1	PHYSICS AND CHEMISTRY
0957-4174	Expert Systems With Applications	Elsevier	1	OPERATIONS RESEARCH
0957-5820	Process Safety and Environmental Protection	Elsevier	1	NULL
0958-1669	Current Opinion in Biotechnology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0958-2592	The Foot	Elsevier	1	NULL
0958-3947	Medical Dosimetry	Elsevier	1	ONCOLOGY
0958-6946	International Dairy Journal	Elsevier	1	FOOD SCIENCE
0958-9465	Cement and Concrete Composites	Elsevier	1	STRUCTURAL ENGINEERING
0959-1524	Journal of Process Control	Elsevier	1	ROBOTICS
0959-289X	International Journal of Obstetric Anesthesia	Elsevier	1	MEDICINE
0959-3780	Global Environmental Change	Elsevier	1	NULL
0959-437X	Current Opinion in Genetics & Development	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0959-4388	Current Opinion in Neurobiology	Elsevier	1	NEUROSCIENCE
0959-440X	Current Opinion in Structural Biology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0959-4752	Learning and Instruction	Elsevier	1	EDUCATION
0959-6526	Journal of Cleaner Production	Elsevier	1	NULL
0959-8049	European Journal of Cancer	Elsevier	1	ONCOLOGY
0959-9436	Mendeleev Communications	Elsevier	1	PHYSICS AND CHEMISTRY
0960-0760	Journal of Steroid Biochemistry and Molecular Biology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0960-0779	Chaos, Solitons and Fractals: the interdisciplinary journal of Nonlinear Science, and Nonequilibrium and Complex Phenomena	Elsevier	1	MATHEMATICS
0960-1481	Renewable Energy	Elsevier	1	ENERGY
0960-3085	Food and Bioproducts Processing	Elsevier	1	FOOD SCIENCE
0960-7404	Surgical Oncology	Elsevier	1	GASTROENTEROLOGY
0960-8524	Bioresource Technology	Elsevier	1	NULL
0960-894X	Bioorganic & Medicinal Chemistry Letters	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0960-8966	Neuromuscular Disorders	Elsevier	1	NEUROSCIENCE
0960-8974	Progress in Crystal Growth and Characterization of Materials	Elsevier	1	PHYSICS AND CHEMISTRY
0960-9776	The Breast	Elsevier	1	ONCOLOGY
0960-9822	Current Biology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0961-9534	Biomass and Bioenergy	Elsevier	1	NULL
0962-6298	Political Geography	Elsevier	1	NULL
0962-8924	Trends in Cell Biology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0963-8687	Journal of Strategic Information Systems	Elsevier	1	MARKETING
0963-8695	NDT and E International	Elsevier	1	STRUCTURAL ENGINEERING
0963-9969	Food Research International	Elsevier	1	FOOD SCIENCE
0964-3397	Intensive & Critical Care Nursing	Elsevier	1	NULL
0964-5691	Ocean and Coastal Management	Elsevier	1	ECOLOGY AND EVOLUTION
0964-8305	International Biodeterioration & Biodegradation	Elsevier	1	NULL
0965-1748	Insect Biochemistry and Molecular Biology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0965-206X	Journal of Tissue Viability	Elsevier	1	SPORTS MEDICINE
0965-2299	Complementary Therapies in Medicine	Elsevier	1	MEDICINE
0965-8564	Transportation Research Part A	Elsevier	1	TRANSPORTATION
0965-9978	Advances in Engineering Software	Elsevier	1	STRUCTURAL ENGINEERING
0966-3274	Transplant Immunology	Elsevier	1	NEPHROLOGY
0966-6362	Gait & Posture	Elsevier	1	SPORTS MEDICINE
0966-6923	Journal of Transport Geography	Elsevier	1	TRANSPORTATION
0966-842X	Trends in Microbiology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0966-9795	Intermetallics	Elsevier	1	PHYSICS AND CHEMISTRY
0967-0637	Deep-Sea Research Part I	Elsevier	1	NULL
0967-0645	Deep-Sea Research Part II	Elsevier	1	NULL
0967-0661	Control Engineering Practice	Elsevier	1	ROBOTICS
0967-067X	Communist and Post-Communist Studies	Elsevier	1	POLITICAL SCIENCE
0967-070X	Transport Policy	Elsevier	1	TRANSPORTATION
0967-5868	Journal of Clinical Neuroscience	Elsevier	1	NEUROSCIENCE
0968-0004	Trends in Biochemical Sciences	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0968-0160	The Knee	Elsevier	1	ORTHOPEDICS
0968-0896	Bioorganic & Medicinal Chemistry	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0968-090X	Transportation Research Part C	Elsevier	1	TRANSPORTATION
0968-4328	Micron	Elsevier	1	PHYSICS AND CHEMISTRY
0968-8080	Reproductive Health Matters	Elsevier	1	MEDICINE
0969-2126	Structure	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0969-5931	International Business Review	Elsevier	1	MARKETING
0969-6989	Journal of Retailing and Consumer Services	Elsevier	1	NULL
0969-6997	Journal of Air Transport Management	Elsevier	1	TRANSPORTATION
0969-8043	Applied Radiation and Isotopes	Elsevier	1	RADIOLOGY
0969-8051	Nuclear Medicine and Biology	Elsevier	1	RADIOLOGY
0969-806X	Radiation Physics and Chemistry	Elsevier	1	PHYSICS AND CHEMISTRY
0969-9961	Neurobiology of Disease	Elsevier	1	NEUROSCIENCE
0970-2199	Journal of Pierre Fauchard Academy (India Section)	Elsevier	1	NULL
0970-3896	IIMB Management Review	Elsevier	0	NULL
0970-9371	Journal of Cytology	Medknow Publications	0	ONCOLOGY
0970-938X	Biomedical Research	IndMedica	0	MEDICINE
0971-5916	Indian Journal of Medical Research	Indian Council Medical Res	0	MEDICINE
0971-8966	Himalayan Geology	Wadia Institute of Himalayan Geology	0	NULL
0972-2327	Annals of Indian Academy of Neurology	Medknow Publications	0	NEUROSCIENCE
0972-3757	International Journal of Human Genetics	Kamla-Raj Enterprises	0	MOLECULAR AND CELL BIOLOGY
0972-5849	Indian Journal of Biotechnology	National Institute of Science Communication and Information Resources	0	PLANT BIOLOGY
0972-6292	Indian Pacing and Electrophysiology Journal	Elsevier	0	NULL
0972-8600	AKCE International Journal of Graphs and Combinatorics	Elsevier	0	NULL
0972-9062	Journal of Vector Borne Diseases	Malaria Research Centre	0	INFECTIOUS DISEASES
0972-978X	Journal of Orthopaedics	Elsevier	1	NULL
0973-0826	Energy for Sustainable Development	Elsevier	1	ENERGY
0973-1482	Journal of Cancer Research and Therapeutics	Medknow Publications	0	ONCOLOGY
0973-3698	Indian Journal of Rheumatology	Elsevier	1	NULL
0973-6883	Journal of Clinical and Experimental Hepatology	Elsevier	1	NULL
0973-7111	Pramana-Journal of Physics	Springer	0	NULL
0973-7138	Journal of Biosciences	Springer	0	NULL
0973-7669	Bulletin of Materials Science	Springer	0	NULL
0973-7707	Indian Journal of Otolaryngology and Head & Neck Surgery	Springer	1	NULL
0973-7758	Journal of Astrophysics and Astronomy	Springer	0	NULL
0974-0252	Indian Journal of Plant Physiology	Springer	1	NULL
0974-276X	Journal of Proteomics & Bioinformatics	Omics Publ Grp	0	NULL
0974-5343	International Journal of Medical Sciences	Ivyspring Int Publ	0	NULL
0974-5971	Iete Technical Review	Inst Electronics Telecommunication Engineers	0	NULL
0974-7559	Indian Pediatrics	Springer	0	NULL
0975-0959	Indian Journal of Biochemistry & Biophysics	Natl Inst Science Communication	0	NULL
0975-0983	Indian Journal of Chemistry Section B-Organic Chemistry Including Medicinal Chem	Natl Inst Science Communication	0	NULL
0975-0991	Indian Journal of Chemical Technology	Natl Inst Science Communication	0	NULL
0975-1009	Indian Journal of Experimental Biology	Natl Inst Science Communication	0	NULL
0975-1017	Indian Journal of Engineering and Materials Sciences	Natl Inst Science Communication	0	NULL
0975-1033	Indian Journal of Marine Sciences	Natl Inst Science Communication	0	NULL
0975-1041	Indian Journal of Pure & Applied Physics	Natl Inst Science Communication	0	NULL
0975-1076	Journal of Intellectual Property Rights	Self Owned - Non-Profit Society	0	NULL
0976-0016	Apollo Medicine	Elsevier	1	NULL
0976-2884	Indian Journal of Medical Specialities	Elsevier	1	NULL
0976-464X	Defence Science Journal	Defence Scientific Information Documentation Centre	0	NULL
0976-5662	Journal of Clinical Orthopaedics and Trauma	Elsevier	1	NULL
0981-9428	Plant Physiology and Biochemistry	Elsevier	1	PLANT BIOLOGY
0985-0562	Nutrition clinique et m tabolisme	Elsevier	1	MEDICINE
0987-7053	Neurophysiologie Clinique / Clinical Neurophysiology	Elsevier	1	NEUROSCIENCE
0987-7983	Journal de p diatrie et de pu riculture	Elsevier	1	NULL
0990-1310	Oxymag	Elsevier	1	NULL
0997-7538	European Journal of Mechanics / A Solids	Elsevier	1	STRUCTURAL ENGINEERING
0997-7546	European Journal of Mechanics / B Fluids	Elsevier	1	FLUID MECHANICS
1000-324X	Journal of Inorganic Materials	Science China Press	0	PHYSICS AND CHEMISTRY
1000-9361	Chinese Journal of Aeronautics	Elsevier	0	FLUID MECHANICS
1001-0742	Journal of Environmental Sciences	Elsevier	1	NULL
1001-6058	Journal of Hydrodynamics, Ser.B	Elsevier	1	NULL
1001-6279	International Journal of Sediment Research	Elsevier	1	NULL
1001-7844	Journal of Reproduction and Contraception	Elsevier	1	NULL
1001-8417	Chinese Chemical Letters	Elsevier	1	PHYSICS AND CHEMISTRY
1001-9014	Journal of Infrared and Millimeter Waves	Science China Press	0	PHYSICS AND CHEMISTRY
1001-9294	Chinese Medical Sciences Journal	Elsevier	1	NULL
1002-0071	Progress in Natural Science: Materials International	Elsevier	0	PHYSICS AND CHEMISTRY
1002-0160	Pedosphere	Elsevier	1	PLANT BIOLOGY
1002-0721	Journal of Rare Earths	Elsevier	1	PHYSICS AND CHEMISTRY
1003-5257	World Journal of Acupuncture   Moxibustion	Elsevier	1	NULL
1003-6326	Transactions of Nonferrous Metals Society of China	Elsevier	1	PHYSICS AND CHEMISTRY
1004-9541	Chinese Journal of Chemical Engineering	Elsevier	1	NULL
1005-0302	Journal of Materials Science & Technology	Elsevier	1	PHYSICS AND CHEMISTRY
1005-8885	The Journal of China Universities of Posts and Telecommunications	Elsevier	1	NULL
1006-706X	Journal of Iron and Steel Research International	Elsevier	1	PHYSICS AND CHEMISTRY
1006-8104	Journal of Northeast Agricultural University (English edition)	Elsevier	1	NULL
1007-5704	Communications in Nonlinear Science and Numerical Simulation	Elsevier	1	MATHEMATICS
1008-1275	Chinese Journal of Traumatology	Elsevier	0	NULL
1010-5182	Journal of Cranio-Maxillo-Facial Surgery	Elsevier	1	DENTISTRY
1010-6030	Journal of Photochemistry & Photobiology, A: Chemistry	Elsevier	1	PHYSICS AND CHEMISTRY
1010-660X	Medicina	Elsevier	0	NULL
1011-1344	Journal of Photochemistry & Photobiology, B: Biology	Elsevier	1	PHYSICS AND CHEMISTRY
1013-7025	Hong Kong Physiotherapy Journal	Elsevier	0	NULL
1013-9052	The Saudi Dental Journal	Elsevier	0	NULL
1015-9584	Asian Journal of Surgery	Elsevier	0	GASTROENTEROLOGY
1016-3190	Tzu Chi Medical Journal	Elsevier	0	NULL
1016-7315	Journal of the Saudi Heart Association	Elsevier	0	NULL
1018-3639	Journal of King Saud University - Engineering Sciences	Elsevier	0	NULL
1018-3647	Journal of King Saud University - Science	Elsevier	0	NULL
1020-4989	Revista Panamericana De Salud Publica-Pan American Journal of Public Health	Pan-American Health Organization	0	MEDICINE
1021-2019	Journal of the South African Institution of Civil Engineering	Self Owned - Non-Profit Society	0	STRUCTURAL ENGINEERING
1021-5506	Zoological Studies	Academia Sinica	0	ECOLOGY AND EVOLUTION
1021-9498	Journal of Food and Drug Analysis	Elsevier	0	FOOD SCIENCE
1025-9848	Health SA Gesondheid	Elsevier	0	NULL
1026-2881	Pachyderm	Self Owned - Non-Profit Society	0	ECOLOGY AND EVOLUTION
1026-9185	South African Journal of Chemical Engineering	Elsevier	0	NULL
1027-5193	European Integration Online Papers-Eiop	Self Owned - Non-Profit Society	0	POLITICAL SCIENCE
1027-8117	Dermatologica Sinica	Elsevier	0	DERMATOLOGY
1028-2092	Bangladesh Journal of Plant Taxonomy	Self Owned - Non-Profit Society	0	ECOLOGY AND EVOLUTION
1028-4559	Taiwanese Journal of Obstetrics & Gynecology	Elsevier	0	MEDICINE
1029-0516	Diagnostic and Therapeutic Endoscopy	Hindawi	0	NULL
1029-242X	Journal of Inequalities and Applications	Springer	0	NULL
1029-3132	Asia Pacific Management Review	Elsevier	1	NULL
1036-7314	Australian Critical Care	Elsevier	1	MEDICINE
1040-2608	Advances in Life Course Research	Elsevier	1	SOCIOLOGY
1040-6182	Quaternary International	Elsevier	1	NULL
1040-6190	The Electricity Journal	Elsevier	1	NULL
1040-7383	Seminars in Spine Surgery	Elsevier	1	NULL
1040-8428	Critical Reviews in Oncology / Hematology	Elsevier	1	ONCOLOGY
1041-6080	Learning and Individual Differences	Elsevier	1	EDUCATION
1041-7826	Advances in Small Animal Medicine and Surgery	Elsevier	1	NULL
1042-3680	Neurosurgery Clinics of North America	Elsevier	1	NEUROSCIENCE
1042-3699	Oral and Maxillofacial Surgery Clinics of North America	Elsevier	1	DENTISTRY
1042-4431	Journal of International Financial Markets, Institutions & Money	Elsevier	1	ECONOMICS
1042-444X	Journal of Multinational Financial Management	Elsevier	1	NULL
1042-8275	Oceanography	Self Owned - Non-Profit Society	0	NULL
1042-9573	Journal of Financial Intermediation	Elsevier	1	ECONOMICS
1043-0679	Seminars in Thoracic and Cardiovascular Surgery	Elsevier	1	NULL
1043-1489	Seminars in Colon and Rectal Surgery	Elsevier	1	NULL
1043-1810	Operative Techniques in Otolaryngology - Head and Neck Surgery	Elsevier	1	NULL
1043-2760	Trends in Endocrinology & Metabolism	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1043-321X	Breast Diseases: A Year Book Quarterly	Elsevier	1	NULL
1043-4666	Cytokine	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1043-6618	Pharmacological Research	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1043-951X	China Economic Review	Elsevier	1	ECONOMICS
1044-0283	Global Finance Journal	Elsevier	1	NULL
1044-5005	Management Accounting Research	Elsevier	1	ACCOUNTING
1044-5323	Seminars in Immunology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1044-579X	Seminars in Cancer Biology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1044-5803	Materials Characterization	Elsevier	1	PHYSICS AND CHEMISTRY
1044-677X	Journal of Research of the National Institute of Standards and Technology	Us Government Printing Office	0	NULL
1044-7431	Molecular and Cellular Neuroscience	Elsevier	1	NEUROSCIENCE
1045-1056	Biologicals	Elsevier	1	INFECTIOUS DISEASES
1045-2354	Critical Perspectives on Accounting	Elsevier	1	NULL
1045-4527	Seminars in Arthroplasty	Elsevier	1	NULL
1045-926X	Journal of Visual Languages and Computing	Elsevier	1	NULL
1046-2023	Methods	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1046-5928	Protein Expression and Purification	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1047-2797	Annals of Epidemiology	Elsevier	1	MEDICINE
1047-3203	Journal of Visual Communication and Image Representation	Elsevier	1	NULL
1047-8310	Journal of High Technology Management Research	Elsevier	1	NULL
1047-8477	Journal of Structural Biology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1047-9651	Physical Medicine & Rehabilitation Clinics of North America	Elsevier	1	SPORTS MEDICINE
1048-6666	Operative Techniques in Orthopaedics	Elsevier	1	NULL
1048-9843	The Leadership Quarterly	Elsevier	1	MARKETING
1049-0078	Journal of Asian Economics	Elsevier	1	NULL
1049-3867	Women's Health Issues	Elsevier	1	MEDICINE
1049-9644	Biological Control	Elsevier	1	ECOLOGY AND EVOLUTION
1050-1738	Trends in Cardiovascular Medicine	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1050-4648	Fish and Shellfish Immunology	Elsevier	1	ECOLOGY AND EVOLUTION
1050-6411	Journal of Electromyography and Kinesiology	Elsevier	1	SPORTS MEDICINE
1051-0443	Journal of Vascular and Interventional Radiology	Elsevier	1	RADIOLOGY
1051-1377	Journal of Housing Economics	Elsevier	1	ECONOMICS
1051-2004	Digital Signal Processing	Elsevier	1	NULL
1051-2276	Journal of Renal Nutrition	Elsevier	1	NEPHROLOGY
1052-0457	Research in Accounting Regulation	Elsevier	1	NULL
1052-3057	Journal of Stroke and Cerebrovascular Diseases	Elsevier	1	NEUROSCIENCE
1052-5149	Neuroimaging Clinics of North America	Elsevier	1	NEUROSCIENCE
1052-5157	Gastrointestinal Endoscopy Clinics of North America	Elsevier	1	NULL
1053-0770	Journal of Cardiothoracic and Vascular Anesthesia	Elsevier	1	MEDICINE
1053-2498	Journal of Heart and Lung Transplantation	Elsevier	1	MEDICINE
1053-4296	Seminars in Radiation Oncology	Elsevier	1	ONCOLOGY
1053-4822	Human Resource Management Review	Elsevier	1	MARKETING
1053-8100	Consciousness and Cognition	Elsevier	1	PSYCHOLOGY
1053-8119	NeuroImage	Elsevier	1	NEUROSCIENCE
1054-139X	Journal of Adolescent Health	Elsevier	1	MEDICINE
1054-8807	Cardiovascular Pathology	Elsevier	1	MEDICINE
1055-3207	Surgical Oncology Clinics of North America	Elsevier	1	ONCOLOGY
1055-3290	Journal of the Association of Nurses in AIDS Care	Elsevier	1	MEDICINE
1055-7903	Molecular Phylogenetics and Evolution	Elsevier	1	ECOLOGY AND EVOLUTION
1055-8586	Seminars in Pediatric Surgery	Elsevier	1	GASTROENTEROLOGY
1056-4993	Child and Adolescent Psychiatric Clinics of North America	Elsevier	1	PSYCHIATRY
1056-8719	Journal of Pharmacological and Toxicological Methods	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1056-8727	Journal of Diabetes and Its Complications	Elsevier	1	MEDICINE
1057-5219	International Review of Financial Analysis	Elsevier	1	ECONOMICS
1057-7408	Journal of Consumer Psychology	Elsevier	1	MARKETING
1058-2746	Journal of Shoulder and Elbow Surgery	Elsevier	1	ORTHOPEDICS
1058-3300	Review of Financial Economics	Elsevier	1	NULL
1058-9813	Progress in Pediatric Cardiology	Elsevier	1	NULL
1059-0560	International Review of Economics and Finance	Elsevier	1	ECONOMICS
1059-1311	Seizure: European Journal of Epilepsy	Elsevier	1	NEUROSCIENCE
1060-1872	Operative Techniques in Sports Medicine	Elsevier	1	ORTHOPEDICS
1060-3743	Journal of Second Language Writing	Elsevier	1	LINGUISTICS
1061-3315	Atlas of the Oral & Maxillofacial Surgery Clinics of North A	Elsevier	1	NULL
1061-9518	Journal of International Accounting, Auditing and Taxation	Elsevier	1	NULL
1062-0303	Journal of Vascular Nursing	Elsevier	1	NULL
1062-6050	Journal of Athletic Training	Self Owned - Non-Profit Society	0	SPORTS MEDICINE
1062-9408	North American Journal of Economics and Finance	Elsevier	1	NULL
1062-9769	Quarterly Review of Economics and Finance	Elsevier	1	NULL
1063-4584	Osteoarthritis and Cartilage	Elsevier	1	RHEUMATOLOGY
1063-5203	Applied and Computational Harmonic Analysis	Elsevier	1	MATHEMATICS
1064-7406	Facial Plastic Surgery Clinics of North America	Elsevier	1	DERMATOLOGY
1064-7481	The American Journal of Geriatric Psychiatry	Elsevier	1	PSYCHIATRY
1064-9689	Magnetic Resonance Imaging Clinics of North America	Elsevier	1	RADIOLOGY
1067-2516	The Journal of Foot and Ankle Surgery	Elsevier	1	ORTHOPEDICS
1067-991X	Air Medical Journal	Elsevier	1	NULL
1068-5200	Optical Fiber Technology	Elsevier	1	PHYSICS AND CHEMISTRY
1068-7971	Russian Geology and Geophysics	Elsevier	1	NULL
1068-9613	Electronic Transactions on Numerical Analysis	Kent State University	0	MATHEMATICS
1071-5797	Finite Fields and Their Applications	Elsevier	1	COMPUTER SCIENCE
1071-5819	International Journal of Human - Computer Studies	Elsevier	1	NULL
1071-9091	Seminars in Pediatric Neurology	Elsevier	1	NEUROSCIENCE
1071-9164	Journal of Cardiac Failure	Elsevier	1	MEDICINE
1072-7515	Journal of the American College of Surgeons	Elsevier	1	GASTROENTEROLOGY
1073-8746	Seminars in Orthodontics	Elsevier	1	NULL
1074-7427	Neurobiology of Learning and Memory	Elsevier	1	NEUROSCIENCE
1074-7613	Immunity	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1075-2935	Assessing Writing	Elsevier	1	NULL
1075-4253	Journal of International Management	Elsevier	1	MARKETING
1075-9964	Anaerobe	Elsevier	1	INFECTIOUS DISEASES
1076-6332	Academic Radiology	Elsevier	1	RADIOLOGY
1077-3142	Computer Vision and Image Understanding	Elsevier	1	NULL
1077-7229	Cognitive and Behavioral Practice	Elsevier	1	PSYCHIATRY
1077-8926	Electronic Journal of Combinatorics	Self Owned - Non-Profit Society	0	COMPUTER SCIENCE
1077-9108	Year Book of Pathology and Laboratory Medicine	Elsevier	1	NULL
1078-1439	Urologic Oncology: Seminars and Original Investigations	Elsevier	1	UROLOGY
1078-5884	European Journal of Vascular & Endovascular Surgery	Elsevier	1	MEDICINE
1078-8174	Radiography	Elsevier	1	NULL
1079-6762	Electronic Research Announcements in Mathematical Sciences	Amer Mathematical Soc	0	NULL
1079-9796	Blood Cells, Molecules and Diseases	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1080-6032	Wilderness & Environmental Medicine	Elsevier	1	MEDICINE
1080-6040	Emerging Infectious Diseases	Center Disease Control	0	INFECTIOUS DISEASES
1080-7446	The Professional Animal Scientist	Elsevier	1	NULL
1081-1206	Annals of Allergy, Asthma & Immunology	Elsevier	1	MEDICINE
1081-3810	Electronic Journal of Linear Algebra	Self Owned - Non-Profit Society	0	MATHEMATICS
1083-3188	Journal of Pediatric and Adolescent Gynecology	Elsevier	1	MEDICINE
1083-589X	Electronic Communications in Probability	Self Owned - Non-Profit Society	0	MATHEMATICS
1083-6489	Electronic Journal of Probability	Self Owned - Non-Profit Society	0	MATHEMATICS
1083-7515	Foot and Ankle Clinics of North America	Elsevier	1	ORTHOPEDICS
1083-8791	Biology of Blood and Marrow Transplantation	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1084-208X	Techniques in Regional Anesthesia and Pain Management	Elsevier	1	NULL
1084-8045	Journal of Network and Computer Applications	Elsevier	1	NULL
1084-9521	Seminars in Cell and Developmental Biology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1087-0024	Journal of Investigative Dermatology Symposium Proceedings	Elsevier	1	NULL
1087-0792	Sleep Medicine Reviews	Elsevier	1	MEDICINE
1087-1845	Fungal Genetics and Biology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1088-9485	Bulletin of the American Mathematical Society	Amer Mathematical Soc	0	NULL
1089-2516	Techniques in Vascular and Interventional Radiology	Elsevier	1	NULL
1089-3261	Clinics in Liver Disease	Elsevier	1	GASTROENTEROLOGY
1089-8603	Nitric Oxide	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1089-9472	Journal of PeriAnesthesia Nursing	Elsevier	1	MEDICINE
1090-0233	The Veterinary Journal	Elsevier	1	VETERINARY
1090-0535	Molecular Vision	Molecular Vision	0	OPHTHALMOLOGY
1090-3798	European Journal of Paediatric Neurology	Elsevier	1	NEUROSCIENCE
1090-5138	Evolution and Human Behavior	Elsevier	1	PSYCHOLOGY
1090-6924	Journal of Cave and Karst Studies	Self Owned - Non-Profit Society	0	NULL
1090-7807	Journal of Magnetic Resonance	Elsevier	1	RADIOLOGY
1090-9443	Research in Economics	Elsevier	1	NULL
1090-9516	Journal of World Business	Elsevier	1	MARKETING
1091-8531	Journal of AAPOS	Elsevier	1	OPHTHALMOLOGY
1092-0684	Neurosurgical Focus	Amer Assoc Neurological Surgeons	0	NEUROSCIENCE
1092-9126	Seminars in Thoracic and Cardiovascular Surgery: Pediatric Cardiac Surgery Annual	Elsevier	1	NULL
1092-9134	Annals of Diagnostic Pathology	Elsevier	1	ONCOLOGY
1093-3263	Journal of Molecular Graphics and Modelling	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1094-2025	Review of Economic Dynamics	Elsevier	1	ECONOMICS
1094-3501	Language Learning & Technology	Univ Hawaii, Natl Foreign Language Resource Center	0	LINGUISTICS
1094-4087	Optics Express	Optical Soc Amer	0	PHYSICS AND CHEMISTRY
1094-5539	Pulmonary Pharmacology & Therapeutics	Elsevier	1	MEDICINE
1094-6950	Journal of Clinical Densitometry	Elsevier	1	MEDICINE
1094-8074	Palaeontologia Electronica	Self Owned - Non-Profit Society	0	NULL
1094-9194	Veterinary Clinics of North America: Exotic Animal Practice	Elsevier	1	NULL
1094-9968	Journal of Interactive Marketing	Elsevier	1	MARKETING
1095-6433	Comparative Biochemistry and Physiology, Part A	Elsevier	1	ECOLOGY AND EVOLUTION
1095-8339	Brain and Behavior	Wiley	0	NULL
1096-2883	Techniques in Gastrointestinal Endoscopy	Elsevier	1	NULL
1096-4959	Comparative Biochemistry and Physiology, Part B	Elsevier	1	ECOLOGY AND EVOLUTION
1096-6374	Growth Hormone & IGF Research	Elsevier	1	MEDICINE
1096-7176	Metabolic Engineering	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1096-7192	Molecular Genetics and Metabolism	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1096-7516	The Internet and Higher Education	Elsevier	1	EDUCATION
1097-0355	Influenza and Other Respiratory Viruses	Wiley	0	NULL
1097-2765	Molecular Cell	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1098-0997	Infectious Diseases in Obstetrics and Gynecology	Hindawi	0	NULL
1098-2337	Aging Cell	Wiley	0	NULL
1098-2353	Clinical and Experimental Dental Research	Wiley	0	NULL
1098-2795	Molecular Systems Biology	Wiley	0	NULL
1098-3015	Value in Health	Elsevier	1	MEDICINE
1098-4402	Physical Review Special Topics-Accelerators and Beams	American Physical Soc	0	PHYSICS AND CHEMISTRY
1098-8823	Prostaglandins and Other Lipid Mediators	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1099-0526	Complexity	Hindawi	0	NULL
1099-1050	Health Expectations	Wiley	0	NULL
1099-1425	Journal of Scheduling	Springer	1	NULL
1099-1557	Pharmacology, Research and Perspectives	Wiley	0	NULL
1099-4300	Entropy	Molecular Diversity Preservation International	0	PHYSICS AND CHEMISTRY
1104-6899	Journal of Forest Economics	Elsevier	1	NULL
1109-4028	Chemistry Education Research and Practice	Royal Soc of Chemistry	0	EDUCATION
1110-0168	Alexandria Engineering Journal	Elsevier	0	NULL
1110-0362	Journal of the Egyptian National Cancer Institute	Elsevier	0	NULL
1110-0621	Egyptian Journal of Petroleum	Elsevier	0	NULL
1110-0931	Bulletin of Faculty of Pharmacy, Cairo University	Elsevier	0	NULL
1110-1164	The Egyptian Rheumatologist	Elsevier	0	NULL
1110-1849	Egyptian Journal of Anaesthesia	Elsevier	0	NULL
1110-256X	Journal of the Egyptian Mathematical Society	Elsevier	0	NULL
1110-2608	The Egyptian Heart Journal	Elsevier	0	NULL
1110-4929	Water Science	Elsevier	0	NULL
1110-5690	Middle East Fertility Society Journal	Elsevier	0	NULL
