Publisher	longname	eISSN	pISSN	AuthorPrice	Website	year_price	free
Russian Academy of Sciences	Reviews on Advanced Materials Science	1605-8127	1606-5131	0	http://www.ipme.ru/e-journals/RAMS/index.html	2012	1
Brazilian Society for Soil Science	Revista Brasileira de CiÂência do Solo	1806-9657	0100-0683	0	http://www.scielo.br/scielo.php?pid=0100-0683&script=sci_serial	2012	0
Conselho Nacional do Desenvolvimento Cientâ€™fico e Tecnolâ€”gico	Revista Brasileira de Farmacognosia/ Brazilian Journal of Pharmacognosy	1981-528X	NULL	0	http://www.scielo.br/revistas/rbfar/iaboutj.htm	2012	1
Brazilian Society of fruit culture	Revista Brasileira de Fruticultura	1806-9967	0100-2945	400	http://www.scielo.br/revistas/rbf/iaboutj.htm	2012	0
Conselho Nacional de Desenvolvimento Cientâ€™fico e Tecnolâ€”gico	Revista Brasileira de Polâ€™tica Internacional	1983-3121	0034-7329	0	http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-7329	2012	1
AssociaÂçâ€_o Brasileira de Psiquiatria	Revista Brasileira de Psiquiatria	1809-452X	1516-4446	0	http://www.scielo.br/revistas/rbp/iaboutj.htm	2012	1
Sociedade Brasileira de Zoologia	Revista Brasileira de Zoologia	1806-969X	0101-8175	0	http://www.scielo.br/revistas/rbzool/iaboutj.htm	2012	0
Sociedade Brasileira de Zootecnia	Revista Brasileira de Zootecnia 	1806-9290	1516-3598	0	http://www.scielo.br/revistas/rbz/iinstruc.htm	2012	0
Universidad de Valparaâ€™so	Revista de Biolgia Marina y Oceanografia	0718-1957	0717-3326	0	http://www.revbiolmar.cl/	2012	0
Pontificia Universidad Catâ€”lica de Chile	Revista de Ciencia politica	0718-090X	0716-1417	0	http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-090X&lng=en&nrm=iso	2012	1
University of Zaragoza	REVISTA DE ECONOMÃªA APLICADA	1133-455X	1133-455X	0	http://www.revecap.com/revista/ingles/default.html	2012	1
Instituto de Astronomâ€™a UNAM	REVISTA MEXICANA DE ASTRONOMIA Y ASTROFISICA	0185-1101	0185-1101	0	http://www.astroscu.unam.mx/~rmaa/	2012	1
Socie_dad Mexicana de Fâ€™sica	Revista Mexicana de Fâ€™sica	1870-3542	0035-001X	0	http://rmf.smf.mx/page/	2012	1
Pan American Health Organization	Revista Panamericana deÃ_Salud PÅ“blica/Pan American Journal of Public Health	1020-4989	1020-4989	0	http://new.paho.org/journal/	2012	1
Springer	Rice	1939-8433	1939-8425	1675	http://www.springer.com/life+sciences/plant+sciences/journal/12284	2012	0
Romanian Society of Biological Sciences	Romanian Biotechnological Letters	1224-5984	1224-5984	65	http://www.rombio.eu/	2012	0
Romanian Society of Morphology	Romanian Journal of Morphology and Embryology	2066-8279	1220-0522	0	http://www.rjme.ro/RJME/jsp/gfa.jsp#	2012	1
Romanian Academy of Sciences	Romanian Journal of Physics	1221-146X	1221-146X	0	http://www.nipne.ro/rjp/	2012	1
Romanian Academy of Sciences	Romanian Reports in Physics	1221-1451	1221-1451	0	http://www.infim.ro/rrp/	2012	1
BioMed Central Ltd	Saline Systems	1746-1448	NULL	1625	http://www.salinesystems.org	2012	0
Salud Mental 	Salud Mental	0185-3325	0185-3325	0	http://www.inprf-cd.org.mx/revista_sm/instructions.html	2012	1
AssociaÂçâ€_o Paulista de Medicina	Sâ€_o Paulo Medical Journal	1806-9460	1516-3180	0	http://www.scielo.br/revistas/spmj/iaboutj.htm	2012	1
Scandinavian Surgical Society	Scandinavian Journal of Surgery	1799-7267	1457-4969	0	http://www.fimnet.fi/sjs/contents.html	2012	1
BioMed Central Ltd	Scandinavian Journal of Trauma  Resuscitation and Emergency Medicine	1757-7241	NULL	1805	http://www.sjtrem.com	2012	0
IOP	SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS	1878-5514	1468-6996	0	http://iopscience.iop.org/1468-6996/	2012	1
Springer	Science China Life Sciences	1869-1889	1674-7305	0	http://www.springer.com/11427	2012	1
International institute for science of sintering	Science of Sintering	0350-820X	0350-820X	0	http://www.iiss.sanu.ac.rs/forauthors.htm	2012	1
University of Sâ€_o Paulo	Scientia Agricola	1678-992X	0103-9016	0	http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-9016&lng=en&nrm=iso	2012	0
Institut de CiÂències del Mar de Barcelona	Scientia Marina	1886-8134	0214-8358	0	http://www.icm.csic.es/scimar/	2012	1
Nature Publishing Group	Scientific Reports	2045-2322	NULL	1700	http://www.nature.com/srep/	2012	0
ACADEMIC JOURNALS	Scientific Research and Essays	1992-2248	1992-2248	550	http://www.academicjournals.org/sre/	2012	0
BioMed Central Ltd	Scoliosis	1748-7161	NULL	1625	http://www.scoliosisjournal.com	2012	0
Springer	Security Informatics	2190-8532	NULL	1070	http://www.security-informatics.com/	2012	0
MDPI	Sensors	1424-8220	1424-8220	1707	http://www.mdpi.com/journal/sensors	2012	0
Springer	Series-Journal of the Spanish Economic Association	1869-4195	NULL	0	http://www.springer.com/economics/journal/13209	2012	1
ASSOC COMPUTING MACHINERY	SIGMOD RECORD	0163-5808	0163-5808	0	http://www.sigmod.org/publications/sigmod-record/1109	2012	1
Signa Vitae	Signa Vitae	1845-206X	1334-5605	0	http://www.signavitae.com/home	2012	1
BioMed Central Ltd	Silence	1758-907X	NULL	2030	http://www.silencejournal.com	2012	0
Finnish Society of Forest Science	Silva Fennica	0037-5330	0037-5330	0	http://www.metla.fi/silvafennica/	2012	1
Singapore Medical Association	Singapore Medical Journa	0037-6575	0037-5675	0	http://smj.sma.org.sg/smjcurrent.html	2012	1
BioMed Central Ltd	Skeletal Muscle	2044-5040	NULL	1970	http://www.skeletalmusclejournal.com	2012	0
Meteorological Society of Japan	Sola: Scientific Online Letters on the Atmosphere	1349-6476	1349-6476	0	http://wwwsoc.nii.ac.jp/msj/sola/sola_sr.html	2012	0
Universitat PolitÂècnica de Catalunya	Sort	2013-8830	NULL	0	http://www.idescat.cat/sort/	2012	1
BioMed Central Ltd	Source Code for Biology and Medicine	1751-0473	NULL	1625	http://www.scfbm.org	2012	0
South African Society for Animal Science	South African Journal of Animal Science	0222-4062	0375-1589	200	http://www.sasas.co.za/node/1458	2012	0
ACAD SCIENCE SOUTH AFRICA A S S AF	SOUTH AFRICAN JOURNAL OF SCIENCE	1996-7489	0038-2353	0	//www.sajs.co.za/index.php/SAJS	2012	1
Association of Surgeons of South Africa	South African Journal of Surgery	2078-5151	0038-2361	0	http://www.sajs.org.za/index.php/sajs/about	2012	1
University of Southern California	Southern California Law Review	0038-3910	0038-3910	0	http://lawweb.usc.edu/why/students/orgs/lawreview/index.cfm	2012	1
Spanish National Institute for Agricultural and Food Research and Technology	Spanish Journal of Agricultural Research	2171-9292	1695-971X	0	http://revistas.inia.es/index.php/sjar	2012	1
BioMed Central Ltd	Sports Medicine  Arthroscopy  Rehabilitation  Therapy & Technology	1758-2555	NULL	0	http://www.smarttjournal.com	2012	1
BioMed Central Ltd	Stem Cell Research & Therapy	1757-6512	NULL	1845	http://stemcellres.com	2012	0
Springer	Strategies in Trauma and Limb Reconstruction	1828-8928	NULL	0	http://www.springer.com/11751	2012	1
Royal Netherlands Academy of Arts and Sciences (	Studies in Mycology	1872-9797	0166-0616	0	http://www.studiesinmycology.org/	2012	1
KRE  Publishers	Studies on Ethnomedicine	1744-5140	0165-0521	0	http://www.krepublishers.com/02-Journals/S-EM/EM-00-0-000-000-2007-Web/EM-00-0-000-000-2007-2-About-J.htm	2012	1
BioMed Central Ltd	Substance Abuse Treatment  Prevention  and Policy	1747-597X	NULL	1625	http://www.substanceabusepolicy.com	2012	0
MDPI	Sustainability	2071-1050	NULL	532	http://www.mdpi.com/journal/sustainability	2012	0
Swiss Academy of Medical Sciences	Swiss Medical Weekly	1424-3997	1424-7860	0	http://www.smw.ch/	2012	1
MDPI	Symmetry	2073-8994	NULL	320	http://www.mdpi.com/journal/symmetry	2012	0
Symmetry Integrability and Geometry: Methods and Applications	Symmetry Integrability and Geometry: Methods and Applications	1815-0659	1815-0659	0	http://www.emis.de/journals/SIGMA/	2012	1
Texas Heart Insttitute	Texas Heart Institute Journal	0730-2347	0730-2347	0	http://texasheart.org/Education/THIJournal/index.cfm	2012	1
Princeton University	The Future of Children	1550-1558	1054-8289	0	http://futureofchildren.org/	2012	1
Springer	The HUGO Journal	1877-6566	NULL	1675	http://www.thehugojournal.com/	2012	0
Springer	The Journal of Headache and Pain	1129-2377	NULL	0	http://www.springer.com/10194	2012	1
Springer	The Journal of Mathematical Neuroscience	2190-8567	NULL	1340	http://www.mathematical-neuroscience.com	2012	0
J-Stage	The Journal of Poultry Science	1349-0486	1346-7395	0	http://jpn-psa.jp/english/index.html	2012	0
Health & Medical Publishing Group (HMPG)	The South African Medical Journal	2078-5135	NULL	0	http://www.samj.org.za/index.php/samj	2012	1
BioMed Central Ltd	Theoretical Biology and Medical Modelling	1742-4682	1742-4682	1720	http://www.tbiomed.com	2012	0
Econometric Society	Theoretical Economics	1555-7561	NULL	0	http://econtheory.org/	2012	0
Society of Thermal Engineers of Serbia	Thermal Science	0354-9836	0354-9836	0	http://thermalscience.vinca.rs/About	2012	1
Scientific World	TheScientificWorldJOURNAL	1537-744X	1537-744X	1000	http://www.tswj.com/apc/	2012	0
BioMed Central Ltd	Thrombosis Journal	1477-9560	NULL	1625	http://www.thrombosisjournal.com	2012	0
BioMed Central Ltd	Thyroid Research	1756-6614	NULL	1625	http://www.thyroidresearchjournal.com	2012	0
BioMed Central Ltd	Tobacco Induced Diseases	1617-9625	NULL	1625	http://www.tobaccoinduceddiseases.com	2012	0
Tohoku University Medical Press	Tohoku Journal of Experimental Medicine	1349-3329	0040-8727	0	http://www.jstage.jst.go.jp/browse/tjem	2012	0
MDPI	Toxins	2072-6651	NULL	533	http://www.mdpi.com/journal/toxins	2012	0
Translational Oncology	Translational Oncology	1936-5233	1936-5233	1800	http://www.transonc.com/authinst.php	2012	0
Vilnius Gediminas Technical University 	Transport	1648-3480	NULL	0	http://www.tandfonline.com/action/aboutThisJournal?journalCode=tran20	2012	1
BioMed Central Ltd	Trials	1745-6215	1745-6215	1625	http://www.trialsjournal.com	2012	0
University of Benin	Tropical Journal of Pharmaceutical Research	1596-9827	1596-5996	150	 http://www.tjpr.org/index.php	2012	0
Scientific and Technological Research Council of Turkey	Turkish Journal of Agriculture and Forestry	1303-6173	1300-011X	0	http://journals.tubitak.gov.tr/agriculture/	2012	1
Scientific and Technological Research Council of Turkey	Turkish Journal of Chemistry	1303-6130	1300-0527	0	http://journals.tubitak.gov.tr/chem/index.php	2012	1
Scientific and Technical Research Council of Turkey	Turkish Journal of Earth Sciences	1303-619X	1300-0985	0	http://journals.tubitak.gov.tr/earth/	2012	1
Central Fisheries Research Institute of Turkey	Turkish Journal of Fisheries and Aquatic Sciences	1303-2712	1303-2712	0	http://www.trjfas.org/	2012	1
Scientific and Technological Research Council of Turkey	Turkish Journal of Mathematics	1303-6149	1300-0098	0	http://journals.tubitak.gov.tr/math/	2012	1
Scientific and Technological Research Council of Turkey	Turkish Journal of Medical Sciences	1303-6165	1300-0144	0	http://journals.tubitak.gov.tr/medical/	2012	1
Turkish Association of Nervous and Mental Health	Turkish Journal of Psychiatry	1300-2163	1300-2163	0	http://www.turkpsikiyatri.com/en/default.aspx?modul=home	2012	1
Scientific and Technological Research Council of Turkey	Turkish Journal of Veterinary and Animal Sciences	1303-6181	1300-0128	0	http://journals.tubitak.gov.tr/veterinary/index.php	2012	1
Upsala Medical Society	Upsala Journal of Medical Sciences	2000-1967	0300-9734	0	http://informahealthcare.com/ups	2012	1
BioMed Central Ltd	Vascular Cell	2045-824X	NULL	1625	http://www.vascularcell.com	2012	0
Czech Academy of Agricultural Sciences	VETERINARNI MEDICINA	0375-8427	0375-8427	0	http://vetmed.vri.cz/	2012	1
BioMed Central Ltd	Veterinary Research	1297-9716	0928-4249	670	http://www.veterinaryresearch.org	2012	0
University of Virginia	VIRGINIA LAW REVIEW	1942-9967	0042-6601	0	http://www.virginialawreview.org/	2012	1
BioMed Central Ltd	Virology Journal	1743-422X	1743-422X	1900	http://www.virologyj.com	2012	0
MDPI	Viruses	1999-4915	1999-4915	532	http://www.mdpi.com/journal/viruses	2012	0
University of Washington	WASHINGTON LAW REVIEW	0043-0617	0043-0617	0	http://www.law.washington.edu/wlr/	2012	1
MDPI	Water	2073-4441	NULL	320	http://www.mdpi.com/journal/water	2012	0
University of the West Indies	West Indian Medical Journal	0368-1238	0043-3144	0	http://caribbean.scielo.org/revistas/wimj/iinstruc.htm	2012	1
University of Wisconsin 	Wisconsin Law Review	0043-650X	0043-650X	0	http://wisconsinlawreview.org/	2012	1
BioMed Central Ltd	World Journal of Emergency Surgery	1749-7922	NULL	1625	http://www.wjes.org	2012	0
Baishideng Journals	World Journal of Gastroenterology	2219-2840	1007-9327	0	http://www.wjgnet.com/1007-9327/index.htm	2012	1
BioMed Central Ltd	World Journal of Surgical Oncology	1477-7819	1477-7819	1900	http://www.wjso.com	2012	0
Yonsei University	Yonsei Medical Journal	1976-2437	0513-5796	0	http://www.eymj.org/index.php?body=about	2012	0
Pensoft	Zookeys	1313-2970	1313-2989	391	http://www.pensoft.net/journals/zookeys	2012	0
Academia Sinica	ZOOLOGICAL STUDIES	1021-5506	1021-5506	0	http://zoolstud.sinica.edu.tw/	2012	1
French national museum of natural history	Zoosystema	1280-9551	1280-9551	0	http://www.mnhn.fr/publication/zoosyst/azoosyst.html	2012	1
Association for Learning Technology	Research in Learning Technology	2156-7077	2156-7069	0	http://www.researchinlearningtechnology.net/index.php/rlt/index	2012	1
Hindawi	Abstract and Applied Analysis	1687-0409	1085-3375	1000	http://www.hindawi.com/journals/aaa/apc/	2012	0
Institute of Oceanography and Fisheries Split	Acta Adriatica	1846-0453	Jan-13	0	http://jadran.izor.hr/acta/eng/	2012	1
Acta Biochimica Polonica	Acta Biochimica Polonica	0001-527X	0001-527X	0	http://www.actabp.pl/	2012	0
Universidad de Chile	Acta Bioethica	1726-569X	0717-5906	0	http://www.scielo.cl/scielo.php?script=sci_serial&pid=1726-569X&lng=en&nrm=iso	2012	1
Polish Academy of Sciences	ACTA BIOLOGICA CRACOVIENSIA	1898-0295	Jan-96	0	http://www.ib.uj.edu.pl/abc/index.php?d=	2012	1
Botanical Society of Brasil	Acta Botanica Brasilica	1677-941X	0102-3306	0	http://www.scielo.br/revistas/abb/iaboutj.htm	2012	1
Chinese Chemical Society	Acta Chimica Sinica	1614-7065	0567-7351	0	http://www.oaj.cas.cn/en/journal_home.aspx?my_jid=0412-1961&journal_name=Acta%20Metallurgica%20Sinica	2012	1
Sestre milosrdnice University Hospital 	Acta Clinica Croatica	1333-9451	0353-9466	0	http://www.acta-clinica.com/	2012	1
Wiley	ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE	1600-5368	1600-5368	150	http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291600-5368	2012	0
Slovenian Academy of Sciences and Arts	Acta Geographica Slovenica	1581-8314	1581-6613	0	http://giam.zrc-sazu.si/?q=en/node/90	2012	1
University of Warsaw	Acta Geologica Polonica	Jan-09	Jan-09	0	http://agp.org.pl/	2012	1
J-Stage	Acta Histochemica et Cytochemica	1347-5800	0044-5991	0	http://www.jstage.jst.go.jp/browse/ahc	2012	0
Okayama University Medical School	Acta Medica Okayama	0386-300X	0386-300X	0	http://ousar.lib.okayama-u.ac.jp/amo	2012	0
Union of Metallurgy Mining Industry and Geology of Slovak Republic	Acta Montanistica Slovaca	1335-1788	1335-1788	0	http://actamont.tuke.sk/index.html	2012	1
Polish Neuroscience Society	Acta Neurobiologiae Experimentalis	0065-1400	0065-1400	0	http://www.ane.pl/index.php	2012	1
Nordic Orthopaedic Federation	Acta Orthopaedica	1745-3682	1745-3674	0	http://www.actaorthop.org/index.php?p=include/mainpage	2012	1
Instytut Paleobiologii PAN	Acta Palaeontologica Polonica	1732-2421	0567-7920	0	http://www.app.pan.pl/home.html	2012	1
Polish Academy of Sciences	ACTA PHYSICA POLONICA A	1509-5770	0587-4246	0	http://przyrbwn.icm.edu.pl/APP/apphome.html	2012	1
Institute of EnvironmentalÃ_ Sciences	Acta Protozoologica	1689-0027	0065-1583	0	http://www.eko.uj.edu.pl/ap/	2012	1
BioMed Central Ltd	Acta Veterinaria Scandinavica	1751-0147	0044-605X	2000	http://www.actavetscand.com	2012	0
Hungarian Academy of Sciences	Acta Zoologica Academiae Scientiarum Hungaricae	1217-8837	1217-8837	0	http://actazool.nhmus.hu/	2012	0
MusÅ_um national dHistoire naturelle	Adansonia	1280-8571	1280-8571	0	http://www.mnhn.fr/publication/adanson/aadanson.html	2012	1
Springer	Advances in Difference Equations	1687-1847	1687-1839	670	http://www.advancesindifferenceequations.com/	2012	0
Romanian Academy of Technical Sciences	Advances in Electrical and Computer Engineering	1844-7600	1582-7445	0	http://www.aece.ro/	2012	0
Hindawi	Advances in High Energy Physics	1687-7365	1687-7357	600	http://www.hindawi.com/journals/ahep/	2012	0
Versita	Advances in Medical Sciences	1898-4002	1896-1126	0	http://versitaopen.com/ams/	2012	1
American Physiological Society	Advances in Physiology Education	1522-1229	1043-4046	0	http://advan.physiology.org/	2012	0
German Institute of Global and Area Studies	Africa Spectrum	1868-6869	0002-0397	0	http://hup.sub.uni-hamburg.de/giga/afsp	2012	1
Academic Journals	African Journal of Agricultural Research	1991-637X	1991-637X	600	http://www.academicjournals.org/ajar/	2012	0
ACADEMIC JOURNALS	AFRICAN JOURNAL OF BIOTECHNOLOGY	1684-5315	1684-5315	650	http://www.academicjournals.org/AJB/	2012	0
ACADEMIC JOURNALS	African Journal of Microbiology Research	1996-0808	1996-0808	550	http://www.academicjournals.org/ajmr/	2012	0
Academic Journals	African Journal of Pharmacy and Pharmacology	1996-0816	1996-0816	600	http://www.academicjournals.org/ajpp/	2012	0
AGRICULTURAL RESEARCH CENTRE FINLAND	AGRICULTURAL AND FOOD SCIENCE	1795-1895	1459-6067	0	http://www.bls.gov/oco/ocos046.htm	2012	1
Colegio de Postgraduados	Agrociencia	1405-3195	1405-3195	0	http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-3195&nrm=iso&rep=&lng=en	2012	1
National Institute of Health	Alcohol Research & Health	1535-7414	1535-7414	0	http://www.niaaa.nih.gov/Publications/AlcoholResearch/Pages/default.aspx	2012	1
ALDRICH CHEMICAL CO INC	ALDRICHIMICA ACTA	0002Ãê5100	Feb-00	0	http://www.sigmaaldrich.com/chemistry/chemical-synthesis/learning-center/aldrichimica-acta.html	2012	1
BioMed Central Ltd	Algorithms for Molecular Biology	1748-7188	1748-7188	1625	http://www.almob.org	2012	0
American Association of Colleges of Pharmacy	AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION	1553-6467	Feb-59	0	http://www.ajpe.org/	2012	1
Japan Society for Analytical Chemistry	Analytical Sciences	1348-2246	0910-6340	0	http://www.jsac.or.jp/cgi-bin/analsci/page/about.html	2012	1
National Survey of Geology and Mining Chile	Andean Geology	0718-7092	0718-7092	0	http://www.andeangeology.equipu.cl/index.php/revista1/index	2012	1
Edward H. Angle Society of Orthodontists	Angle Orthodontist	Mar-19	Mar-19	0	http://www.angle.org/	2012	1
Polish Academy of Sciences	ANIMAL SCIENCE PAPERS AND REPORTS	0137-1649	0860-4037	0	http://www.ighz.edu.pl/?p0=5&p1=34&o=3376	2012	1
Academia Scientiarum Fennica	Annales AcademiÂ_ Scientiarum FennicÂ_ Mathematica	1239-629X	1239-629X	0	http://www.acadsci.fi/mathematica/index.html	2012	1
European Geosciences Union	Annales Geophysicae	1432-0576	0992-7689	0	http://www.annales-geophysicae.net/	2012	0
ACAD MEDICINE SINGAPORE	ANNALS ACADEMY OF MEDICINE SINGAPORE	0304-4602	0304-4602	0	http://www.annals.edu.sg/	2012	1
Institute of Rural Health Lublin Poland	Annals of Agricultural and Environmental Medicine	1898-2263	1232-1966	160	http://www.aaem.pl/about_j.htm	2012	0
American Academy of Family Physicians	Annals of Family Medicine	1544-1717	1544-1709	0	http://www.annfammed.org/	2012	1
Istituto Nazionale di Geofisica e Vulcanologia	Annals of Geophysics	2037-416X	1593-5213	0	http://www.annalsofgeophysics.eu/index.php/annals/index	2012	1
Medknow	Annals of Indian Academy of Neurology	0972-2327	0972-2327	0	http://www.annalsofian.org/aboutus.asp	2012	1
King Faisal Specialist Hospital	Annals of Saudi Medicine	0256-4947	0256-4947	0	http://www.saudiannals.net/aboutus.asp	2012	1
Annals of Thoracic and Cardiovascular Surgery	Annals of Thoracic and Cardiovascular Surgery	2186-1005	1341-1098	0	http://www.atcs.jp/	2012	0
Medknow	Annals of Thoracic Medicine	1817-1737	1817-1737	0	http://www.thoracicmedicine.org/aboutus.asp	2012	1
University of Belgrade	Applicable Analysis and Discrete Mathematics	1452-8630	1452-8630	0	http://pefmath.etf.rs/	2012	1
Corvinus University of Budapest (Hungary)	Applied Ecology and Environmental Research	1785-0037	1589-1623	0	http://www.ecology.kee.hu/	2012	1
King Fahd University of Petroleum & Minerals	Arabian Journal of Science and Engineering	2191-4281	1319-8025	0	http://ajse.kfupm.edu.sa/	2012	1
Serbian Biological Society	Archives of Biological Sciences	1821-4339	0354-4664	0	http://archonline.bio.bg.ac.rs/	2012	1
J-Stage	Archives of Histology and Cytology	1349-1717	0914-9465	0	http://www.ishc.net/	2012	0
Versita	Archives of Industrial Hygiene and Toxicology	1846-9558	0004-1254	0	http://versita.com/pjct/	2012	1
Polish Academy of Sciences	ARCHIVES OF MECHANICS	0373-2029	0373-2029	0	http://am.ippt.gov.pl/index.php/am/issue/view/154	2012	1
Termedia	Archives of Medical Science	1896-9151	1734-1922	253	http://www.termedia.pl/Journal/-19	2012	0
Polish Academy of Sciences	ARCHIVES OF METALLURGY AND MATERIALS	1733-3490	1733-3490	0	http://www.imim.pl/archives	2012	1
ARKAT-USA	Arkivoc	1551-7012	1551-7004	0	http://www.arkat-usa.org/arkivoc-journal/about-arkivoc/	2012	1
Universidade Federal de Minas Gerais	Arquivo Brasileiro de Medicina Veterinâ€¡ria e Zootecnia 	1678-4162	0102-0935	0	http://www.scielo.br/revistas/abmvz/iaboutj.htm	2012	0
BioMed Central Ltd	Arthritis Research & Therapy	1478-6354	1478-6362	1845	http://arthritis-research.com/	2012	0
Asian Pacific Organization for Cancer Prevention	Asian Pacific Journal of Cancer Prevention	1513-7368	1513-7368	50	http://www.apocp.org/index.php	2012	0
Centro de Ciencias de la Atmâ€”sfera	Atmosfera	0187-6236	0187-6236	0	http://www.journals.unam.mx/index.php/atm/about	2012	1
European Geosciences Union	Atmospheric Chemistry and Physics	1680-7324	1680-7316	1000	http://www.atmospheric-chemistry-and-physics.net/index.html	2012	0
European Geosciences Union	Atmospheric Measurement Techniques	1867-8548	1867-1381	0	http://www.atmospheric-measurement-techniques.net/	2012	0
Australasian Society for Computers in Learning in Tertiary Education	Australasian Journal of Educational Technology	1449-5554	1449-3098	0	http://www.ascilite.org.au/ajet/ajet.html	2012	1
Southern Cross Publishing	Australian Journal of Crop Science	1835-2707	1835-2693	355	http://www.cropj.com/about.html	2012	0
Austrian Geological Society	Austrian Journal of Earth Sciences	0251-7493	0251-7493	0	http://www.univie.ac.at/ajes/	2012	1
Macedonian Academy of Sciences and Arts	Balkan Journal of Medical Genetics	1896-494X	1232-1087	0	http://www.bjmg.edu.mk/	2012	1
Tusi Mathematical Research Group	Banach Journal of Mathematical Analysis	1735-8787	1735-8787	0	http://www.emis.de/journals/BJMA/	2012	1
Bangladesh Pharmacological Society	Bangladesh Journal of Pharmacology	1991-0088	1991-007X	0	http://www.bdjpharmacol.com/index.htm	2012	1
Bangladesh Association of Plant Taxonomists	Bangladesh Journal of Plant Taxonomy	1028-2092	1028-2092	0	http://www.banglajol.info/index.php/BJPT/about	2012	1
Carnegie Mellon University	Bayesian Analysis	1931-6690	1931-6690	0	http://ba.stat.cmu.edu/	2012	1
BioMed Central Ltd	Behavioral and Brain Functions	1744-9081	1744-9081	1680	http://www.behavioralandbrainfunctions.com	2012	0
Beilstein-Institut	Beilstein Journal of Organic Chemistry	1860-5397	1860-5397	0	http://bjoc.beilstein-journals.org	2012	1
SCIELO	Biocell (Mendoza en lâ€™nea)	1667-5746	0327-9545	0	http://www.scielo.org.ar/revistas/biocell/iaboutj.htm#Basic_Information	2012	0
Croatian Society of Medical Biochemists	Biochemia Medica	1330-0962	1330-0962	0	http://biochemia-medica.com/introduction	2012	1
Society for Bacterial and Antifungal agents	Biocontrol Science	1342-4815	1342-4815	136	http://wwwsoc.nii.ac.jp/saaaj/english/magazine_e.html	2012	0
European Geosciences Union	Biogeosciences	1726-4189	1726-4170	0	http://www.biogeosciences.net/	2012	0
Hindawi	Bioinorganic Chemistry and Applications	1687-479X	1565-3633	1200	http://www.hindawi.com/journals/bca/	2012	0
Springer	Biointerphases	1559-4106	1559-4106	800	http://www.springer.com/materials/biomaterials/journal/13758	2012	0
Pharmaceutical Society of Japan	Biological & Pharmaceutical Bulletin	1347-5215	0918-6158	0	http://bpb.pharm.or.jp/	2012	0
BioMed Central Ltd	Biological Procedures Online	1480-9222	1480-9222	1900	http://www.biologicalproceduresonline.com	2012	0
Chilean Biology Society	Biological Research	0717-6287	0716-9760	0	http://www.scielo.cl/revistas/bres/iinstruc.htm	2012	0
BioMed Central Ltd	Biology Direct	1745-6150	1745-6150	1900	http://www.biology-direct.com	2012	0
Institute of Sport in Warsaw Poland 	Biology of Sport	2083-1862	0860-021X	210	http://www.biolsport.com/	2012	0
BioMed Central Ltd	BioMedical Engineering OnLine	1475-925X	1475-925X	1625	http://www.biomedical-engineering-online.com	2012	0
IndMedica	Biomedical Research	0970-938X	0970-938X	0	http://www.indmedica.com/journals.php?journalid=12&action=info	2012	0
American Institute of Physics	Biomicrofluidics	1932-1058	1932-1058	1500	http://bmf.aip.org/	2012	0
North Carolina State University	Bioresources	1930-2126	1930-2126	0	http://www.ncsu.edu/bioresources/	2012	1
Japanese Societies	Bioscience Trends	1881-7823	1881-7815	0	http://www.biosciencetrends.com/	2012	0
BioMed Central Ltd	Biotechnology for Biofuels	1754-6834	1754-6834	2055	http://www.biotechnologyforbiofuels.com	2012	0
Italian Society of Transfusion Medicine and Immunohaematology	Blood Transfusion	1723-2007	1723-2007	0	http://www.bloodtransfusion.it/linee.aspx	2012	1
Korean Society for Biochemistry and Molecular Biology	BMB Reports	1976-670X	1976-6696	0	http://www.jbmb.or.kr/index.html	2012	1
BioMed Central Ltd	BMC Bioinformatics	1471-2105	1471-2105	1845	http://www.biomedcentral.com/bmcbioinformatics/	2012	0
BioMed Central Ltd	BMC Biology	1741-7007	1741-7007	2190	http://www.biomedcentral.com/bmcbiol/	2012	0
BioMed Central Ltd	BMC Biotechnology	1472-6750	1472-6750	1845	http://www.biomedcentral.com/bmcbiotechnol/	2012	0
BioMed Central Ltd	BMC Cancer	1471-2407	1471-2407	1845	http://www.biomedcentral.com/bmccancer/	2012	0
BioMed Central Ltd	BMC Cardiovascular Disorders	1471-2261	1471-2261	1845	http://www.biomedcentral.com/bmccardiovascdisord/	2012	0
BioMed Central Ltd	BMC Cell Biology	1471-2121	1471-2121	1845	http://www.biomedcentral.com/bmccellbiol/	2012	0
BioMed Central Ltd	BMC Complementary and Alternative Medicine	1472-6882	1472-6882	1845	http://www.biomedcentral.com/bmccomplementalternmed/	2012	0
BioMed Central Ltd	BMC Developmental Biology	1471-213X	1471-213X	1845	http://www.biomedcentral.com/bmcdevbiol/	2012	0
BioMed Central Ltd	BMC Evolutionary Biology	1471-2148	1471-2148	1845	http://www.biomedcentral.com/bmcevolbiol/	2012	0
BioMed Central Ltd	BMC Family Practice	1471-2296	1471-2296	1845	http://www.biomedcentral.com/bmcfampract/	2012	0
