issn	journal_name	pub_name	is_hybrid	category,,
1437-0751	Forum der Psychoanalyse	Springer	1	NULL,,
1437-1588	Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz	Springer	1	NULL,,
1437-1596	International Journal of Legal Medicine	Springer	1	NULL,,
1437-160X	Rheumatology International	Springer	1	NULL,,
1437-1618	Ethik in der Medizin	Springer	1	NULL,,
1437-2320	Neurosurgical Review	Springer	1	NULL,,
1437-3262	International Journal of Earth Sciences	Springer	1	NULL,,
1437-7772	International Journal of Clinical Oncology	Springer	1	NULL,,
1437-7799	Clinical and Experimental Nephrology	Springer	1	NULL,,
1437-8213	Journal of Marine Science and Technology	Springer	1	NULL,,
1437-9546	acta ethologica	Springer	1	NULL,,
1437-9813	Pediatric Surgery International	Springer	1	NULL,,
1438-1168	Mineralogy and Petrology	Springer	1	NULL,,
1438-1435	Emergency Radiology	Springer	1	NULL,,
1438-2199	Amino Acids	Springer	1	NULL,,
1438-2385	European Food Research and Technology	Springer	1	NULL,,
1438-3888	Helgoland Marine Research	BioMed Central	0	NULL,,
1438-390X	Population Ecology	Springer	1	NULL,,
1438-7573	Journal of the Association for Research in Otolaryngology	Springer	1	NULL,,
1438-7948	Functional & Integrative Genomics	Springer	1	NULL,,
1438-8359	Journal of Anesthesia	Springer	1	NULL,,
1438-8871	JOURNAL OF MEDICAL INTERNET RESEARCH	JOURNAL OF MEDICAL INTERNET RESEARCH	0	MEDICINE,,
1439-0302	Erwerbs-Obstbau	Springer	1	NULL,,
1439-0345	Gesunde Pflanzen	Springer	1	NULL,,
1439-0515	Natur und Recht	Springer	1	NULL,,
1439-0574	European Journal of Wildlife Research	Springer	1	NULL,,
1439-0973	Infection	Springer	1	NULL,,
1439-099X	Strahlentherapie und Onkologie	Springer	1	NULL,,
1439-1104	Invertebrate Neuroscience	Springer	1	NULL,,
1439-4847	Neurophysiologie-Labor	Elsevier	1	NULL,,
1439-5444	Journal of Ethology	Springer	1	NULL,,
1439-6327	European Journal of Applied Physiology	Springer	1	NULL,,
1439-863X	Limnology	Springer	1	NULL,,
1440-1681	Clinical Case Reports	Wiley	0	NULL,,
1440-1703	Ecological Research	Springer	1	NULL,,
1440-1800	Nursing Open	Wiley	0	NULL,,
1442-8903	Ecology and Evolution	Wiley	0	NULL,,
1443-458X	JOURNAL OF RESEARCH AND PRACTICE IN INFORMATION TECHNOLOGY	Self Owned - Non-Profit Society	0	NULL,,
1444-2906	Fisheries Science	Springer	1	NULL,,
1446-3164	The Journal of Global Positioning Systems	Springer	0	NULL,,
1447-056X	Asia Pacific Family Medicine	BioMed Central Ltd	0	NULL,,
1447-0578	Reproductive Medicine and Biology	Springer	1	NULL,,
1447-073X	Anatomical Science International	Springer	1	NULL,,
1448-6032	Australasian Plant Pathology	Springer	1	NULL,,
1449-2288	International Journal of Biological Sciences	Self Owned - Non-Profit Society	0	MOLECULAR AND CELL BIOLOGY,,
1449-5554	Australasian Journal of Educational Technology	Self Owned - Non-Profit Society	0	NULL,,
1451-9372	CHEMICAL INDUSTRY & CHEMICAL ENGINEERING QUARTERLY	KoBSON	0	NULL,,
1452-3981	International Journal of Electrochemical Science	ELECTROCHEMICAL SOC INC	0	PHYSICS AND CHEMISTRY,,
1452-8185	NUCLEAR TECHNOLOGY & RADIATION PROTECTION	Self Owned - Non-Profit Society	0	NULL,,
1452-8266	Journal of Medical Biochemistry	VERSITA	0	NULL,,
1452-8630	APPLICABLE ANALYSIS AND DISCRETE MATHEMATICS	KoBSON	0	MATHEMATICS,,
1460-2687	Sports Engineering	Springer	1	NULL,,
1460-2709	MEDICAL MYCOLOGY	TAYLOR & FRANCIS LTD	0	NULL,,
1460-7425	Journal of Artificial Societies and Social Simulation	Simsoc Consortium	0	NULL,,
1461-1570	LMS JOURNAL OF COMPUTATION AND MATHEMATICS	CAMBRIDGE UNIV PRESS	0	MATHEMATICS,,
1463-1741	NOISE & HEALTH	Medknow Publications	0	NULL,,
1464-5068	Journal of Analytical Methods in Chemistry	Hindawi	0	NULL,,
1465-3249	Cytotherapy	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
1465-5411	Breast Cancer Research	BioMed Central Ltd	0	ONCOLOGY,,
1465-542X	Breast Cancer Research	BioMed Central	0	NULL,,
1465-6906	Genome Biology	BioMed Central Ltd	0	NULL,,
1465-7295	Energy Science & Engineering	Wiley	0	NULL,,
1465-9921	RESPIRATORY RESEARCH	Biomed Central	0	MEDICINE,,
1465-993X	Respiratory Research	BioMed Central	0	NULL,,
1466-1268	Cell Stress and Chaperones	Springer	1	NULL,,
1466-1861	Mediators of Inflammation	Hindawi	0	NULL,,
1467-3037	CURRENT ISSUES IN MOLECULAR BIOLOGY	HORIZON SCIENTIFIC PRESS	0	MOLECULAR AND CELL BIOLOGY,,
1467-4866	Geochemical Transactions	Springer	0	NULL,,
1467-789X	Obesity Science & Practice 	Wiley	0	NULL,,
1467-9922	Laryngoscope Investigative Otolaryngology	Wiley	0	NULL,,
1467-9981	Metascience	Springer	1	NULL,,
1467-999X	Microbial Biotechnology	Wiley	0	NULL,,
1468-0483	Global Challenges	Wiley	0	NULL,,
1468-2869	Journal of Urban Health	Springer	1	NULL,,
1468-8123	Geofluids	Hindawi	0	NULL,,
1470-1014	Politikon	ROUTLEDGE JOURNALS	0	NULL,,
1470-7330	Cancer Imaging	BioMed Central	0	RADIOLOGY,,
1471-0676	Platinum Metals Review	Johnson Matthey Plc	0	PHYSICS AND CHEMISTRY,,
1471-2091	BMC Biochemistry	BMC-Springer	0	MOLECULAR AND CELL BIOLOGY,,
1471-2105	BMC BIOINFORMATICS	Biomed Central	0	MOLECULAR AND CELL BIOLOGY,,
1471-2121	BMC CELL BIOLOGY	Biomed Central	0	MOLECULAR AND CELL BIOLOGY,,
1471-213X	BMC DEVELOPMENTAL BIOLOGY	Biomed Central	0	MOLECULAR AND CELL BIOLOGY,,
1471-2148	BMC EVOLUTIONARY BIOLOGY	Biomed Central	0	ECOLOGY AND EVOLUTION,,
1471-2156	BMC GENETICS	Biomed Central	0	MOLECULAR AND CELL BIOLOGY,,
1471-2164	BMC GENOMICS	Biomed Central	0	MOLECULAR AND CELL BIOLOGY,,
1471-2172	BMC IMMUNOLOGY	Biomed Central	0	MOLECULAR AND CELL BIOLOGY,,
1471-2180	BMC MICROBIOLOGY	Biomed Central	0	MOLECULAR AND CELL BIOLOGY,,
1471-2199	BMC MOLECULAR BIOLOGY	Biomed Central	0	MOLECULAR AND CELL BIOLOGY,,
1471-2202	BMC NEUROSCIENCE	Biomed Central	0	NEUROSCIENCE,,
1471-2210	BMC Pharmacology	BioMed Central Ltd	0	NULL,,
1471-2229	BMC PLANT BIOLOGY	Biomed Central	0	PLANT BIOLOGY,,
1471-2253	BMC Anesthesiology	BioMed Central Ltd	0	MEDICINE,,
1471-2261	BMC CARDIOVASCULAR DISORDERS	Biomed Central	0	MEDICINE,,
1471-227X	BMC Emergency Medicine	BioMed Central Ltd	0	NULL,,
1471-2288	BMC Medical Research Methodology	Biomed Central	0	MEDICINE,,
1471-2296	BMC Family Practice	Biomed Central	0	MEDICINE,,
1471-230X	BMC GASTROENTEROLOGY	Biomed Central	0	GASTROENTEROLOGY,,
1471-2318	BMC Geriatrics	BMC-Springer	0	MEDICINE,,
1471-2326	BMC Blood Disorders	BioMed Central Ltd	0	NULL,,
1471-2334	BMC INFECTIOUS DISEASES	Biomed Central	0	INFECTIOUS DISEASES,,
1471-2342	BMC Medical Imaging	BioMed Central Ltd	0	RADIOLOGY,,
1471-2350	BMC Medical Genetics	Biomed Central	0	MOLECULAR AND CELL BIOLOGY,,
1471-2369	BMC NEPHROLOGY	Biomed Central	0	NEPHROLOGY,,
1471-2377	BMC Neurology	Biomed Central	0	NEUROSCIENCE,,
1471-2393	BMC Pregnancy and Childbirth	BMC-Springer	0	MEDICINE,,
1471-2407	BMC CANCER	Biomed Central	0	ONCOLOGY,,
1471-2415	BMC OPHTHALMOLOGY	Biomed Central	0	OPHTHALMOLOGY,,
1471-2431	BMC PEDIATRICS	Biomed Central	0	MEDICINE,,
1471-244X	BMC Psychiatry	Biomed Central	0	PSYCHIATRY,,
1471-2458	BMC PUBLIC HEALTH	Biomed Central	0	MEDICINE,,
1471-2466	BMC Pulmonary Medicine	BMC-Springer	0	MEDICINE,,
1471-2474	BMC MUSCULOSKELETAL DISORDERS	Biomed Central	0	ORTHOPEDICS,,
1471-2482	BMC Surgery	BMC-Springer	0	GASTROENTEROLOGY,,
1471-2490	BMC Urology	BMC-Springer	0	UROLOGY,,
1471-5546	Science and Engineering Ethics	Springer	1	NULL,,
1471-5945	BMC Dermatology	BioMed Central Ltd	0	NULL,,
1472-3654	Archaea	Hindawi	0	NULL,,
1472-6750	BMC BIOTECHNOLOGY	Biomed Central	0	MOLECULAR AND CELL BIOLOGY,,
1472-6769	BMC Chemical Biology	BioMed Central Ltd	0	NULL,,
1472-6785	BMC Ecology	BioMed Central Ltd	0	NULL,,
1472-6793	BMC Physiology	BioMed Central Ltd	0	NULL,,
1472-6807	BMC STRUCTURAL BIOLOGY	Biomed Central	0	NULL,,
1472-6815	BMC Ear  Nose and Throat Disorders	BioMed Central Ltd	0	NULL,,
1472-6823	BMC Endocrine Disorders	BMC-Springer	0	MEDICINE,,
1472-6831	BMC Oral Health	BMC-Springer	0	DENTISTRY,,
1472-684X	BMC Palliative Care	BMC-Springer	0	MEDICINE,,
1472-6874	BMC Womens Health	BMC-Springer	0	MEDICINE,,
1472-6882	BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE	Biomed Central	0	FOOD SCIENCE,,
1472-6890	BMC Clinical Pathology	BioMed Central Ltd	0	NULL,,
1472-6904	BMC Clinical Pharmacology	BioMed Central Ltd	0	NULL,,
1472-6920	BMC MEDICAL EDUCATION	Biomed Central	0	MEDICINE,,
1472-6939	BMC Medical Ethics	BMC-Springer	0	MEDICINE,,
1472-6947	BMC Medical Informatics and Decision Making	Biomed Central	0	MEDICINE,,
1472-6955	BMC Nursing	BioMed Central Ltd	0	NULL,,
1472-6963	BMC HEALTH SERVICES RESEARCH	Biomed Central	0	MEDICINE,,
1472-698X	BMC International Health and Human Rights	BMC-Springer	0	MEDICINE,,
1472-765X	Limnology & Oceanography Letters	Wiley	0	NULL,,
1472-9792	Tuberculosis	Elsevier	1	MOLECULAR AND CELL BIOLOGY,,
1473-2262	EUROPEAN CELLS & MATERIALS	Self Owned - Non-Profit Society	0	ORTHOPEDICS,,
1473-2300	JOURNAL OF INTERNATIONAL MEDICAL RESEARCH	Sage	0	NULL,,
1473-4230	The Cerebellum	Springer	1	NULL,,
1474-7049	EVOLUTIONARY PSYCHOLOGY	Human Nature Review	0	PSYCHOLOGY,,
1474-760X	Genome Biology	BioMed Central	0	MOLECULAR AND CELL BIOLOGY,,
1475-2689	In Vitro Cellular & Developmental Biology - Plant	Springer	1	NULL,,
1475-2840	Cardiovascular Diabetology	Biomed Central	0	MEDICINE,,
1475-2859	Microbial Cell Factories	Biomed Central	0	MOLECULAR AND CELL BIOLOGY,,
1475-2867	Cancer Cell International	BioMed Central Ltd	0	MOLECULAR AND CELL BIOLOGY,,
1475-2875	MALARIA JOURNAL	Biomed Central	0	INFECTIOUS DISEASES,,
1475-2883	Filaria Journal	BioMed Central Ltd	0	NULL,,
1475-2891	NUTRITION JOURNAL	Biomed Central	0	MEDICINE,,
1475-4916	Homeopathy	Elsevier	1	MEDICINE,,
1475-4924	Journal of Biology	BioMed Central Ltd	0	NULL,,
1475-925X	Biomedical Engineering Online	Biomed Central	0	SPORTS MEDICINE,,
1475-9268	Cell & Chromosome	BioMed Central Ltd	0	NULL,,
1475-9276	INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH	Biomed Central	0	MEDICINE,,
1475-9292	Kinetoplastid Biology and Disease	BioMed Central Ltd	0	NULL,,
1476-069X	Environmental Health	Biomed Central	0	ENVIRONMENTAL HEALTH,,
1476-0711	Annals of Clinical Microbiology and Antimicrobials	BioMed Central Ltd	0	INFECTIOUS DISEASES,,
1476-072X	International Journal of Health Geographics	Biomed Central	0	MEDICINE,,
1476-3524	Neurotoxicity Research	Springer	1	NULL,,
1476-3591	eHealth International	BioMed Central Ltd	0	NULL,,
1476-4431	Journal of Veterinary Internal Medicine	Wiley	0	NULL,,
1476-4598	Molecular Cancer	Biomed Central	0	MOLECULAR AND CELL BIOLOGY,,
1476-511X	Lipids in Health and Disease	Biomed Central	0	MEDICINE,,
1476-5535	Journal of Industrial Microbiology & Biotechnology	Springer	1	NULL,,
1476-5586	NEOPLASIA	NEOPLASIA PRESS	0	NULL,,
1476-5918	Dynamic Medicine	BioMed Central Ltd	0	NULL,,
1476-5926	Comparative Hepatology	BioMed Central Ltd	0	NULL,,
1476-7120	CARDIOVASCULAR ULTRASOUND	Biomed Central	0	MEDICINE,,
1476-7961	Clinical and Molecular Allergy	BioMed Central Ltd	0	NULL,,
1476-8518	Journal of Immune Based Therapies and Vaccines	BioMed Central Ltd	0	NULL,,
1476-9255	JOURNAL OF INFLAMMATION-LONDON	Biomed Central	0	MOLECULAR AND CELL BIOLOGY,,
1476-9360	Journal of the Operations Research Society of Japan	Operations Research Society of Japan	0	NULL,,
1476-9433	Medical Immunology	BioMed Central Ltd	0	NULL,,
1477-044X	BioMagnetic Research and Technology	BioMed Central Ltd	0	NULL,,
1477-3155	Journal of Nanobiotechnology	BioMed Central Ltd	0	PHYSICS AND CHEMISTRY,,
1477-3163	Journal of Carcinogenesis	BioMed Central Ltd	0	NULL,,
1477-5751	Journal of Negative Results in BioMedicine	BioMed Central Ltd	0	NULL,,
1477-5956	Proteome Science	Self Owned - Non-Profit Society	0	MOLECULAR AND CELL BIOLOGY,,
1477-7517	HARM REDUCTION JOURNAL	Biomed Central	0	PSYCHIATRY,,
1477-7525	Health and Quality of Life Outcomes	Biomed Central	0	MEDICINE,,
1477-7800	International Seminars in Surgical Oncology	BioMed Central Ltd	0	NULL,,
1477-7819	WORLD JOURNAL OF SURGICAL ONCOLOGY	Biomed Central	0	ONCOLOGY,,
1477-7827	Reproductive Biology and Endocrinology	Biomed Central	0	MEDICINE,,
1477-9560	Thrombosis Journal	BioMed Central Ltd	0	NULL,,
1478-1336	Nuclear Receptor	BioMed Central Ltd	0	NULL,,
1478-2286	TEMPO	CAMBRIDGE UNIV PRESS	0	NULL,,
1478-4491	HUMAN RESOURCES FOR HEALTH	Biomed Central	0	MEDICINE,,
1478-4505	Health Research Policy and Systems	BioMed Central Ltd	0	MEDICINE,,
1478-6354	Arthritis Research & Therapy	BioMed Central Ltd	0	NULL,,
1478-6362	Arthritis Research & Therapy	BioMed Central	0	RHEUMATOLOGY,,
1478-7547	Cost Effectiveness and Resource Allocation	BioMed Central Ltd	0	NULL,,
1478-7954	Population Health Metrics	BioMed Central Ltd	0	MEDICINE,,
1478-811X	Cell Communication and Signaling	BioMed Central Ltd	0	MOLECULAR AND CELL BIOLOGY,,
1479-0556	Genetic Vaccines and Therapy	BioMed Central Ltd	0	NULL,,
1479-5868	International Journal of Behavioral Nutrition and Physical Activity	Biomed Central	0	MEDICINE,,
1479-5876	Journal of Translational Medicine	Biomed Central	0	MOLECULAR AND CELL BIOLOGY,,
1479-7364	Human Genomics	BioMed Central	0	NULL,,
1479-8425	Sleep and Biological Rhythms	Springer	1	NULL,,
1480-9222	BIOLOGICAL PROCEDURES ONLINE	Biomed Central	0	MOLECULAR AND CELL BIOLOGY,,
1488-2159	JOURNAL OF THE CANADIAN DENTAL ASSOCIATION	Self Owned - Non-Profit Society	0	DENTISTRY,,
1488-2310	CANADIAN JOURNAL OF SURGERY	CMA MEDIA INC	0	NULL,,
1488-2434	JOURNAL OF PSYCHIATRY & NEUROSCIENCE	CMA MEDIA INC	0	NULL,,
1499-2671	Canadian Journal of Diabetes	CANADIAN DIABETES ASSOC	0	MEDICINE,,
1505-1773	POLISH JOURNAL OF VETERINARY SCIENCES	Polish Academy of Sciences	0	VETERINARY,,
1509-572x	FOLIA NEUROPATHOLOGICA	VIA MEDICA	0	NULL,,
1509-5770	ACTA PHYSICA POLONICA A	Polish Academy of Sciences	0	NULL,,
1512-2891	Journal of Homotopy and Related Structures	Springer	1	MATHEMATICS,,
1513-7368	Asian Pacific Journal of Cancer Prevention	Self Owned - Non-Profit Society	0	ONCOLOGY,,
1520-0477	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	AMER METEOROLOGICAL SOC	0	NULL,,
1520-6505	Evolutionary Applications	Wiley	0	NULL,,
1521-186X	Bioengineering & Translational Medicine	Wiley	0	NULL,,
1521-1886	GPS Solutions	Springer	1	NULL,,
1522-1229	ADVANCES IN PHYSIOLOGY EDUCATION	AMER PHYSIOLOGICAL SOC	0	NULL,,
1522-1709	Sleep and Breathing	Springer	1	NULL,,
1522-4600	Nexus Network Journal	Springer	1	NULL,,
1522-9602	Bulletin of Mathematical Biology	Springer	1	NULL,,
1523-1739	Conservation Letters	Wiley	0	NULL,,
1525-1497	Journal of General Internal Medicine	Springer	1	NULL,,
1526-9914	Journal of Applied Clinical Medical Physics	Self Owned - Non-Profit Society	0	RADIOLOGY,,
1528-3658	MOLECULAR MEDICINE	FEINSTEIN INSTITUTE MED RES	0	NULL,,
1529-9120	Gene Therapy& Molecular Biology	Gene Therapy Press	0	NULL,,
1530-8677	Wireless Communications and Mobile Computing	Hindawi	0	NULL,,
1530-9312	COMPUTATIONAL LINGUISTICS	M I T PRESS	0	NULL,,
1530-9932	AAPS PharmSciTech	Springer	1	PHARMACOLOGY,,
1531-135X	Cognitive, Affective, & Behavioral Neuroscience	Springer	1	NULL
1531-5320	Psychonomic Bulletin & Review	Springer	1	NULL,,
1531-5851	Journal of Fourier Analysis and Applications	Springer	1	NULL,,
1531-586X	Transformation Groups	Springer	1	NULL,,
1531-5878	Circuits, Systems, and Signal Processing	Springer	1	NULL
1532-2807	Pathology & Oncology Research	Springer	1	NULL,,
1532-429X	JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE	Biomed Central	0	NULL,,
1532-4796	Annals of Behavioral Medicine	Springer	1	NULL,,
1532-5946	Memory & Cognition	Springer	1	NULL,,
1532-6268	International Journal of Genomics	Hindawi	0	NULL,,
1532-6551	Journal of Nuclear Cardiology	Springer	1	NULL,,
1532-7558	International Journal of Behavioral Medicine	Springer	1	NULL,,
1533-3159	PAIN PHYSICIAN	Self Owned - Non-Profit Society	0	MEDICINE,,
1533-7790	Demography	Springer	1	NULL,,
1533-7928	JOURNAL OF MACHINE LEARNING RESEARCH	MICROTOME PUBLISHING	0	NULL,,
1534-3081	Current Pain and Headache Reports	Springer	1	NULL,,
1534-309X	Current Treatment Options in Gastroenterology	Springer	1	NULL,,
1534-3111	Current Hypertension Reports	Springer	1	NULL,,
1534-312X	Current Gastroenterology Reports	Springer	1	NULL,,
1534-3138	Current Treatment Options in Neurology	Springer	1	NULL,,
1534-3146	Current Infectious Disease Reports	Springer	1	NULL,,
1534-3170	Current Cardiology Reports	Springer	1	NULL,,
1534-3189	Current Treatment Options in Cardiovascular Medicine	Springer	1	NULL,,
1534-4681	Annals of Surgical Oncology	Springer	1	NULL,,
1534-6242	Current Atherosclerosis Reports	Springer	1	NULL,,
1534-6250	Current Treatment Options in Infectious Diseases	Springer	1	NULL,,
1534-6269	Current Oncology Reports	Springer	1	NULL,,
1534-6277	Current Treatment Options in Oncology	Springer	1	NULL,,
1534-6285	Current Urology Reports	Springer	1	NULL,,
1534-6293	Current Neurology and Neuroscience Reports	Springer	1	NULL,,
1534-6307	Current Rheumatology Reports	Springer	1	NULL,,
1534-6315	Current Allergy and Asthma Reports	Springer	1	NULL,,
1534-7362	JOURNAL OF VISION	ASSOC RESEARCH VISION OPHTHALMOLOGY INC	0	PSYCHOLOGY,,
1535-1645	Current Psychiatry Reports	Springer	1	NULL,,
1535-7414	Alcohol Research & Health	National Institute of Health	0	PSYCHIATRY,,
1535-7511	Epilepsy Currents	American epilepsy society	0	NULL,,
1536-2442	JOURNAL OF INSECT SCIENCE	UNIV ARIZONA	0	ECOLOGY AND EVOLUTION,,
1536-7509	CBE-LIFE SCIENCES EDUCATION	AMER SOC CELL BIOLOGY	0	NULL,,
1536-9323	Journal of the Association for Information Systems	Association for Information Systems	0	MARKETING,,
1537-2693	Journal of Agricultural, Biological, and Environmental Statistics	Springer	1	NULL
1537-744X	The Scientific World Journal	Hindawi	0	NULL,,
1538-2443	Journal of NeuroVirology	Springer	1	NULL,,
1538-4721	Brachytherapy	Elsevier	1	ONCOLOGY,,
1538-6279	CENTRO JOURNAL	HUNTER COLLEGE-CUNY, CENTER PUERTO RICAN STUDIES	0	NULL,
1539-0829	Current Diabetes Reports	Springer	1	NULL,,
1540-5826	Learning Health Systems	Wiley	0	NULL,,
1540-8167	Journal of Cellular and Molecular Medicine	Wiley	0	NULL,,
1542-3034	International Journal of Rotating Machinery	Hindawi	0	NULL,,
1542-4863	CA-A CANCER JOURNAL FOR CLINICIANS	American cancer society	0	NULL,,
1543-0154	Journal of Cancer Education	Springer	1	NULL,,
1543-1851	JOM	Springer	1	NULL,,
1543-186X	Journal of Electronic Materials	Springer	1	NULL,,
1543-1916	Metallurgical and Materials Transactions B	Springer	1	NULL,,
1543-1940	Metallurgical and Materials Transactions A	Springer	1	NULL,,
1543-4508	Learning & Behavior	Springer	1	NULL,,
1543-706X	In Vitro Cellular & Developmental Biology - Animal	Springer	1	NULL,,
1544-1016	Journal of Thermal Spray Technology	Springer	1	NULL,,
1544-1024	Journal of Materials Engineering and Performance	Springer	1	NULL,,
1544-1717	ANNALS OF FAMILY MEDICINE	ANNALS FAMILY MEDICINE	0	NULL,,
1544-2241	Current Osteoporosis Reports	Springer	1	NULL,,
1545-7230	Academic Psychiatry	Springer	1	NULL,,
1545-7249	The Journal of Pathology: Clinical Research	Wiley	0	NULL,,
1545-7885	PLOS BIOLOGY	PUBLIC LIBRARY SCIENCE	0	NULL,,
1546-0096	Pediatric Rheumatology	BioMed Central Ltd	0	RHEUMATOLOGY,,
1546-9549	Current Heart Failure Reports	Springer	1	NULL,,
1548-3576	Current HIV/AIDS Reports	Springer	1	NULL,,
1548-3592	Current Sexual Health Reports	Springer	1	NULL,,
1548-7660	Journal of Statistical Software	American Statistical Association	0	NULL,,
1549-1676	PLOS MEDICINE	PUBLIC LIBRARY SCIENCE	0	NULL,,
1550-1477	International Journal of Distributed Sensor Networks	Hindawi	0	NULL,,
1550-1558	FUTURE OF CHILDREN	Self Owned - Non-Profit Society	0	NULL,,
1550-2783	JOURNAL OF THE INTERNATIONAL SOCIETY OF SPORTS NUTRITION	Biomed Central	0	SPORTS MEDICINE,,
1550-7416	The AAPS Journal	Springer	1	PHARMACOLOGY,,
1551-2916	Journal of the American Heart Association	Wiley	0	NULL,,
1551-7012	ARKIVOC	Self Owned - Non-Profit Society	0	NULL,,
1552-7824	Journal of the Academy of Marketing Science	Springer	1	NULL,,
1553-6467	AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION	American Association of Colleges of Pharmacy	0	NULL,,
1553-6610	Sexuality Research and Social Policy	Springer	1	NULL,,
1553-7358	PLoS Computational Biology	PUBLIC LIBRARY SCIENCE	0	NULL,,
1553-7374	PLoS Pathogens	PUBLIC LIBRARY SCIENCE	0	NULL,,
1553-7404	PLoS Genetics	PUBLIC LIBRARY SCIENCE	0	NULL,,
1554-3528	Behavior Research Methods	Springer	1	NULL,,
1554-8120	Medicinal Chemistry Research	Springer	1	NULL,,
1554-9178	Physical Review Special Topics-Physics Education Research	AMERICAN PHYSICAL SOC	0	EDUCATION,,
1555-1938	International Entrepreneurship and Management Journal	Springer	1	NULL,,
1555-4317	Contrast Media & Molecular Imaging	Hindawi	0	NULL,,
1555-5550	Biological Theory	Springer	1	NULL,,
1555-7561	Theoretical Economics	Econometric Society	0	ECONOMICS,,
1556-0961	Neurocritical Care	Springer	1	NULL,,
1556-1615	International Journal of Computer-Supported Collaborative Learning	Springer	1	NULL,,
1556-1631	Metacognition and Learning	Springer	1	NULL,,
1556-276X	Nanoscale Research Letters	Springer	0	NULL,,
1556-2891	Forensic Science, Medicine, and Pathology	Springer	1	NULL
1556-3308	The Journal of Behavioral Health Services & Research	Springer	1	NULL,,
1556-3804	Current Colorectal Cancer Reports	Springer	1	NULL,,
1556-6501	Educational Technology Research and Development	Springer	1	NULL,,
1556-6676	Journal of Diabetes Investigation	Wiley	0	NULL,,
1556-6978	CPT: Pharmacometrics & Systems Pharmacology 	Wiley	0	NULL,,
1557-0703	Occupational Therapy International	Hindawi	0	NULL,,
1557-1866	Food Biophysics	Springer	1	NULL,,
1557-1882	International Journal of Mental Health and Addiction	Springer	1	NULL,,
1557-1904	Journal of Neuroimmune Pharmacology	Springer	1	NULL,,
1557-1920	Journal of Immigrant and Minority Health	Springer	1	NULL,,
1557-1947	Journal of Superconductivity and Novel Magnetism	Springer	1	NULL,,
1557-1963	Plasmonics	Springer	1	NULL,,
1557-2072	Sensing and Imaging	Springer	1	NULL,,
1557-2293	Journal of Maritime Archaeology	Springer	1	NULL,,
1557-2501	JOURNAL OF INVASIVE CARDIOLOGY	Self Owned - Unknown Profit Status	0	NULL,,
1558-6804	Stem Cell Reviews and Reports	Springer	1	NULL,,
1558-7118	Journal of the American Board of Family Medicine	AMER BOARD FAMILY MEDICINE	0	NULL,,
1558-822X	Current Hematologic Malignancy Reports	Springer	1	NULL,,
1558-8238	Journal of Clinical Investigation	American Society for Clinical Investigation	0	NULL,,
1558-9250	Journal of Engineered Fibers and Fabrics	Self Owned - Non-Profit Society	0	PHYSICS AND CHEMISTRY,,
1558-9293	Journal of Surfactants and Detergents	Springer	1	NULL,,
1558-9307	Lipids	Springer	1	NULL,,
1558-9331	Journal of the American Oil Chemists' Society	Springer	1	NULL,,
1558-9439	JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION	MEDICAL LIBRARY ASSOC	0	NULL,,
1559-002X	The Journal of Geometric Analysis	Springer	1	NULL,,
1559-0089	Neuroinformatics	Springer	1	NULL,,
1559-0097	Endocrine Pathology	Springer	1	NULL,,
1559-0100	Endocrine	Springer	1	NULL,,
1559-0119	Clinical Reviews in Bone and Mineral Metabolism	Springer	1	NULL,,
1559-0259	Cardiovascular Toxicology	Springer	1	NULL,,
1559-0267	Clinical Reviews in Allergy & Immunology	Springer	1	NULL,,
1559-0275	Clinical Proteomics	BioMed Central Ltd	0	NULL,,
1559-0283	Cell Biochemistry and Biophysics	Springer	1	NULL,,
1559-0291	Applied Biochemistry and Biotechnology	Springer	1	NULL,,
1559-0305	Molecular Biotechnology	Springer	1	NULL,,
1559-0720	Biological Trace Element Research	Springer	1	NULL,,
1559-0755	Immunologic Research	Springer	1	NULL,,
1559-1166	Journal of Molecular Neuroscience	Springer	1	NULL,,
1559-1174	NeuroMolecular Medicine	Springer	1	NULL,,
1559-1182	Molecular Neurobiology	Springer	1	NULL,,
1559-131X	Medical Oncology	Springer	1	NULL,,
1559-2731	Estuaries and Coasts	Springer	1	NULL,,
1559-4106	Biointerphases	AVS (American Vacuum Society)	0	PHYSICS AND CHEMISTRY,,
1559-470X	International Journal of Applied Research in Veterinary Medicine	Veterinary Solutions, LLC	0	NULL,
1559-7075	TechTrends	Springer	1	NULL,,
1559-744X	The Review of International Organizations	Springer	1	NULL,,
1559-8985	Progress in Electromagnetics Research-PIER	Self Owned - Non-Profit Society	0	NULL,,
1560-4306	International Journal of Artificial Intelligence in Education	Springer	1	NULL,,
1563-258X	Wiener Medizinische Wochenschrift	Springer	1	NULL,,
1563-5031	Active and Passive Electronic Components	Hindawi	0	NULL,,
1563-5147	Mathematical Problems in Engineering	Hindawi	0	NULL,,
1563-5171	VLSI Design	Hindawi	0	NULL,,
